db_id,english,hinglish_light,hinglish_natural,hinglish_hindi_heavy,sql
college_3,What are the full names and gradepoints for all enrollments?,What are the full names aur gradepoints for all enrollments?,आपki full names aur gradepoints kya hain sabki enrollments ke liye?,kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunki kyunk,"SELECT T3.Fname ,  T3.LName ,  T2.gradepoint FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID"
school_finance,"What is the total budget amount for school ""Glenn"" in all years?",What is the total budget amont for school 'Glenn' in sab saal mein?,Budget ki kya jamaa hai school 'Glenn' ke liye sabhi saal mein?,Kyun ki school 'Glenn' ke liye sabhi saal mein budget ki jamaa kya hai?,SELECT sum(T1.budgeted) FROM budget AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T2.school_name  =  'Glenn
store_1,Find out 5 customers who most recently purchased something. List customers' first and last name.,Find out 5 customers jo phir se kitni bar shopping ki hain. List customers ka first name aur last name.,Find out 5 customers jo phir se kitni bar shopping ki hain. List kar dena customers ka first name aur last name.,Find out 5 customers jo phir se kitni bar shopping ki hain. List kar dena customers ka first name aur last name.,"SELECT T1.first_name ,  T1.last_name FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id ORDER BY T2.invoice_date DESC LIMIT 5;"
wine_1,What is the area for the appelation which produced the most wines prior to 2010?,What is the area for the appelation jo pehle 2010 tak kaanun se saarey vyn ko produce kiya tha?,Kya ye area hai jo 2010 tak kaanun se theek se vyn produce kara tha?,Kya ye area hai jo pehle 2010 tak kaanun se saarey vyn produce kiya tha?,SELECT T1.Area FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.Appelation  =  T2.Appelation GROUP BY T2.Appelation HAVING T2.year  <  2010 ORDER BY count(*) DESC LIMIT 1
dorm_1,How many female students live in Smith Hall?,How many female students live in Smith Hall?,Smith Hall mein kitni beti shikshadasi stay karte hain?,Smith Hall mein kitni female students stay karte hain?,SELECT count(*) FROM student AS T1 JOIN lives_in AS T2 ON T1.stuid  =  T2.stuid JOIN dorm AS T3 ON T3.dormid  =  T2.dormid WHERE T3.dorm_name  =  'Smith Hall' AND T1.sex  =  'F
election,Show the people that have been comptroller the most times and the corresponding number of times.,Show the people jo the maximum times comptroller banaye hain aur uske corresponding number of times.,Show the people jo the maximum times comptroller banaye hain aur uski corresponding number of times.,Show the people jo the maximum times comptroller banaye hain aur uski corresponding number of times.,"SELECT Comptroller ,  COUNT(*) FROM party GROUP BY Comptroller ORDER BY COUNT(*) DESC LIMIT 1"
e_government,"Find the payment method and phone of the party with email ""enrico09@example.com"".",Find the payment method aur phone waha par jaha email enrico09@example.com hai,enrico09@example.com se payment method aur phone nikalao,"enrico09@example.com par payment method aur phone dikhayege, unme se milo","SELECT payment_method_code ,  party_phone FROM parties WHERE party_email  =  ""enrico09@example.com"
pets_1,What is the last name of the student who has a cat that is 3 years old?,What is the last name of the student jo cat 3 saal ki hai?,Student jo cat 3 saal ki hai ka last name kya hai?,Student jo cat 3 saal ki hai ka last name kya hai?,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat
customers_and_addresses,Which contact channel codes were used less than 5 times?,Which contact channel codes were used less than 5 baar?,"Contact channel codes jo 5 se kam baar use hoti hain, unki which?","which contact channel codes jo 5 se kam baar use hotay hain, unki which?",SELECT channel_code FROM customer_contact_channels GROUP BY channel_code HAVING count(customer_id)  <  5
poker_player,What is the money rank of the tallest poker player?,What is the money rank of the tallest poker player?,Jaldi batao jo uttar ka money rank hai jo tallest poker player hain?,Kya woh tallest poker player ki money rank kya hai?,SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Height DESC LIMIT 1
student_assessment,How many students attend course English?,How many students attend course English?,Kya kitne dosto ne cours English ka padhna shuru kiya hai?,Kyun kitne dosti ne cours English ka padhna shuru kiya hai?,"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English"
customers_and_invoices,What are the full names of customers with the account name 900?,What are the full names of customers with the account name 900?,Account ka name 900 ka customers ki kya purna naam hain?,Kya purna naam account ka name 900 ka customers ke hain?,"SELECT T2.customer_first_name ,  T2.customer_last_name FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.account_name  =  ""900"
university_basketball,Show the enrollment and primary_conference of the oldest college.,Show the enrollment aur primary_conference of the oldest college.,"Enrollment aur primary_conference diye college jisme sabse zyada shuddh varsh hai, show karo.","enrollment aur primary_conference dikein, usi college ki jo zyada shuddh varsh hai.","SELECT enrollment ,  primary_conference FROM university ORDER BY founded LIMIT 1"
activity_1,Count the number of female Professors we have.,Count the number of female profs jaise hain,Female profs ka number padh le ki kitne hain,Female profs ka number padh lekin kitne hain,"SELECT count(*) FROM Faculty WHERE Sex  =  'F' AND Rank  =  ""Professor"
cre_Doc_Template_Mgt,What are the details for the paragraph that includes the text 'Korea ' ?,What are the details of the paragraph jo 'Korea' ka text include karta hai?,Kya wo paragraph ki details hain jo 'Korea' ka text include karta hai?,Kya details hain ye paragraph jo 'Korea' ka text include karta hai?,select other_details from paragraphs where paragraph_text like 'korea
network_2,What is average age of male for different job title?,What is average age of male ke liye different job title mein?,Average age of male kya hai different job title ke liye?,Kya average age of male ke liye different job title mein hai?,"SELECT avg(age) ,  job FROM Person WHERE gender  =  'male' GROUP BY job"
sports_competition,What is the total number of clubs that have less than 10 medals in total?,What is the total number of clubs jo have less than 10 medals in total?,Kya total me clubs hain jo 10 se kam medals milaye?,Kyun k total me clubs hain jinme 10 se kam medals hain?,SELECT count(*) FROM club_rank WHERE Total  <  10
world_1,How long is the people’s average life expectancy in Central Africa?,How long is the common charya jeevan pratirupak in Central Africa?,Central Africa mein jeevan pratirupak kitni zamaanah hain common pehle?,Central Africa mein common ke liye average jeevan pratirupak kitna hain?,"SELECT avg(LifeExpectancy) FROM country WHERE Region  =  ""Central Africa"
sports_competition,"For each position, what is the average number of points for players in that position?","For each position, average points kya players jo same position pe hain?","For each position, players jo same position pe hain ki average points kitni hain?","Le jaa, for each position players jo same position pe hain, average points kya?","SELECT POSITION ,  avg(Points) FROM player GROUP BY POSITION"
county_public_safety,Show the case burden of counties in descending order of population.,Show the case burden of districts in descending order of population.,Case burden of districts ko show karo jaise population ke basis par piche se peeche.,Case burden of districts dikhao population ke basis par piche se peeche.,SELECT Case_burden FROM county_public_safety ORDER BY Population DESC
sakila_1,When did the first payment happen?,When did the first payment happen?,First payment kya time me hua tha?,First payment kahin me hua kya time mein?,SELECT payment_date FROM payment ORDER BY payment_date ASC LIMIT 1
voter_2,What are the advisors,What顾问 are the सलाहकार,What सलाहकार are the कौन से,कौन से advisors इसका मतलब क्या है,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2
loan_1,What is the name of the customer who has greatest total loan amount?,What is the name of the customer jo sabse zyada total loan amount ka hai?,Kya pata hai name of the customer jo total loan amount ka zyada hai?,Kya hai name of the customer jo total loan amount mein sabse zyada hai?,SELECT T1.cust_name FROM customer AS T1 JOIN loan AS T2 ON T1.cust_id  =  T2.cust_id GROUP BY T1.cust_name ORDER BY sum(T2.amount) DESC LIMIT 1
insurance_and_eClaims,Which customer is associated with the latest policy?,Which customer is asso-ciated-with the latest policy?,Jo customer jo latest policy se related hai?,Jo customer latest policy ka associated hai?,SELECT t2.customer_details FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t1.start_date  =  (SELECT max(start_date) FROM policies)
customers_card_transactions,Count the number of customers who have an account.,Count the number of customers jo account hain.,Count the number of customers jo account hai.,Count the number of customers jo account hain.,SELECT count(DISTINCT customer_id) FROM Accounts
department_store,Return the name and job title of the staff with the latest date assigned.,Return the name aur job title wale staff ka naam aur designation dalo jo sabhi mei' latest date par assign hua hain.,Return name aur job title wale staff ki details jo latest date par assign hua hain.,Return the name aur job title wale staff ko lekar uski details jo latest date par assign hua hain.,"SELECT T1.staff_name ,  T2.job_title_code FROM staff AS T1 JOIN staff_department_assignments AS T2 ON T1.staff_id  =  T2.staff_id ORDER BY T2.date_assigned_to DESC LIMIT 1"
farm,"What is the total horses record for each farm, sorted ascending?","What is the total horses record for each farm, sorted ascending?",Total horses record kya hai har farm ke liye aur unhe ascending mein arrange kiya?,Kya har farm ke liye total horses record hai? Unhe ascending mein sort kiya?,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC
world_1,"Find the name, population and expected life length of asian country with the largest area?","Find the name, population aur life kalaan of Asian country with the largest area?","Kya Asian country with the largest area ka name, population aur life kalaan mil sakte hain?","Kya jisme area zyada hain usi Asian country ka name, population aur life kalaan dikhaye?","SELECT Name ,  Population ,  LifeExpectancy FROM country WHERE Continent  =  ""Asia"" ORDER BY SurfaceArea DESC LIMIT 1"
game_1,What are the last names for all scholarship students?,What are the last names of sab scholarship pehchanne ke saare students?,Sab scholarship students kaun kaun si last names hain?,Kya sab scholarship studenton ka last name jante hain?,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y
formula_1,Find the driver id and number of races of all drivers who have at most participated in 30 races?,Find the driver id aur number of races of all drivers jo 30 se kam race kar chuke hain?,Driver id aur races ka number de do jo 30 race ke nishchit nivaran mein gaye hain?,Find the driver id aur number of races of all drivers jo at most 30 race kar chuke hain?,"SELECT T1.driverid ,  count(*) FROM drivers AS T1 JOIN results AS T2 ON T1.driverid = T2.driverid JOIN races AS T3 ON T2.raceid = T3.raceid GROUP BY T1.driverid HAVING count(*)  <=  30"
movie_1,"What is the id of the reviewer whose name includes the word ""Mike""?",What is the id of the reviewer jaise name mein word 'Mike' hai?,Id kya hai un reviewer ke jo name mein word Mike hai?,Kya id hai un reviewer ke jinke naam mein word Mike hai?,"SELECT rID FROM Reviewer WHERE name LIKE ""%Mike%"
sakila_1,Return the amount of the largest payment.,Return the amount of the largest payment.,Bada bhukti ka amount return karo.,Aadmi ne kiya the bada bhukti ka amount return karna hai.,SELECT amount FROM payment ORDER BY amount DESC LIMIT 1
match_season,What are the official languages of the countries of players from Maryland or Duke college?,What are the official languages of the countries of players from Maryland or Duke college?,Maryland ya Duke college se players kaunse samanvayit bhashaon ki chitthi hain un countries mein?,Kya Maryland yaar Duke college se players ke liye kisichhon ke samanvayit bhashaon ki list hai un countries mein?,"SELECT T1.Official_native_language FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.College  =  ""Maryland"" OR T2.College  =  ""Duke"
election,Who were the comptrollers of the parties associated with the delegates from district 1 or district 2?,Who were the comptrollers of the parties associated with the delegates from district 1 or district 2?,Party ke comptroller koi tha jo district 1 ya 2 se delegate se asankhya hai?,Party ke comptrollers kya thiyo jo district 1 ya 2 se delegates se connected thiye?,SELECT T2.Comptroller FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T1.District  =  1 OR T1.District  =  2
customers_and_invoices,"What are the ids, names, dates of opening, and other details for accounts corresponding to the customer with the first name ""Meaghan""?","What are the ids, names, dates of opening, aur dusre details account correspond karne wale customer 'Meaghan' ka?","Ids kya hain, names kya hain, opening dates kya hain aur dusre details account correspond karne wale customer Meaghan ke liye?","Kya ids hain, names hain, opening dates hain aur dusre details account correspond karne wale customer 'Meaghan' ke liye?","SELECT T1.account_id ,  T1.date_account_opened ,  T1.account_name ,  T1.other_account_details FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  'Meaghan"
concert_singer,What are the names of all stadiums that did not have a concert in 2014?,What are the names of all stadiums - कौन से स्टेडियम 2014 में कंसर्ट नहीं किए गए थे?,2014 में कोई कंसर्ट नहीं था तो कौन से स्टेडियम हैं?,kon sa stadium 2014 mein konsert nahi thaa hain,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
music_2,What is the last name of the artist who sang the most songs?,What is the last name of the artist jo sang sabse zyada?,Kya woh artist ki last name kahaani? Jo sabse zyada geet sunaaya hai.,Kyaa woh artist ka last name kya hain jo sabse zyada geet sunaaya?,SELECT T2.lastname FROM Performance AS T1 JOIN Band AS T2 ON T1.bandmate  =  T2.id JOIN Songs AS T3 ON T3.SongId  =  T1.SongId GROUP BY lastname ORDER BY count(*) DESC LIMIT 1
e_learning,"For each distinct test result, find the number of students who got the result.","For each distinct test result, result ki students ki count de","Lekin har ek nikaalne ka result ke liye, uske nakaalne wale students ki count dhundho","For each distinct test result, result ka number of students ki count de, lekin result ko nikaalne ka process mein 50-50 share English-Hindi use karo","SELECT test_result ,  COUNT(*) FROM Student_Tests_Taken GROUP BY test_result ORDER BY COUNT(*) DESC"
product_catalog,What are the name and level of catalog structure with level number between 5 and 10,What are the name aur level no par catalog structure ka name aur level no jisme 5 se 10 tak hai,Kya catalog structure ka name aur level no kya hai jisme 5 se 10 tak hai,Kyaa catalog structure ka naam aur level no kya hai jisme 5 se 10 tak hain,"SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10"
wta_1,Find the year that has the most number of matches.,Find the year which has maximum match,"Year mein jo match barabar zyaada hai, wo find karo","Year ka milana jo match sabse zyaada hai, usko find karein",SELECT YEAR FROM matches GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
game_1,What are the ids of all female students who play football?,What are the ids of all female students who play football?,Kyunki female students football khelte hain toh unke sab ids kya hain?,Kyunki female students football khelte hain toh unke ids kya hain?,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"
match_season,Count the number of different colleges that players who play for Columbus Crew are from.,"Count the number of different colleges jo players of Columbus Crew se nikle hain, unke aankhon se dekho.","Count the number of different colleges jo players of Columbus Crew se aane wale hain, unke aankhon se dekho.","Count the number of different colleges jo players of Columbus Crew se nikle hain, unke aankhon se dekho.","SELECT count(DISTINCT T1.College) FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Columbus Crew"
voter_2,What are the maximum and minimum age of students with major 600?,What are the maximum aur minimum age of students with major 600?,Maximum aur minimum age kitne hain students jo 600 ka major hain?,Kya maximum aur minimum age hain students jo 600 ka major hain?,"SELECT max(Age) ,  min(Age) FROM STUDENT WHERE Major  =  600"
customer_complaints,What are the emails and phone numbers of custoemrs who have never filed a complaint?,What are the emails aur phone numbers of customers jo koi baat nahi ki thi?,Kya emails aur phone numbers hain of customers jo koi complaint nahi suna hai?,Kyi emails aur phone numbers ki koi complaint nahi kiye huye customers ki kyon?,"SELECT email_address ,  phone_number FROM customers WHERE customer_id NOT IN (SELECT customer_id FROM complaints)"
customer_complaints,"Find the emails and phone numbers of all the customers, ordered by email address and phone number.","Find the emails aur phone numbers of all the customers, ordered by email address aur phone number","Sabhi customers ka emails aur phone numbers dekh lein, email address aur phone number se sort kiya","Sabhi customers ke liye emails aur phone numbers dekho, email address aur phone number se arrange kiya hai","SELECT email_address ,  phone_number FROM customers ORDER BY email_address ,  phone_number"
customer_complaints,"Find the last name of the staff whose email address contains ""wrau"".",Find the last name of the staff jaise email address mein wrau hain,Staff ka last name dekh le jisse email mein wrau aa rha hai,last name dekhna staff jo mail mein wrau contain karega,"SELECT last_name FROM staff WHERE email_address LIKE ""%wrau%"
college_3,What are the first names and last names of the students that minor in the department with DNO 140.,What are the first names aur last names of the students jo department mein minor karte hain jo DNO 140 hai?,Kya students jo DNO 140 ka department minor karte hain unke first names aur last names kya hain?,Kyaa students jo DNO 140 ka department minor karte hain unke first names aur last names kyaa hain?,"SELECT T2.Fname ,  T2.Lname FROM MINOR_IN AS T1 JOIN STUDENT AS T2 ON T1.StuID  =  T2.StuID WHERE T1.DNO  =  140"
concert_singer,How many singers are from each country?,How many singers hai milaane ke each country mein?,Kitne singers hai har ek country se?,Kitne singers hai har ek country mein hai?,"SELECT country ,  count(*) FROM singer GROUP BY country"
student_assessment,"For every student who is registered for some course, how many courses are they registered for?","For every student jaise ek register hua kisi course mein, unhe kitne course register kiya hain?","Har ek register hua student ke liye, unhe kitne course register kiya hain?","For every student jaise ek register hua kisi course mein, unhe kitne course register kiya hain?","SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id"
workshop_paper,What is the author of the submission with the highest score?,What is the author of the submission with the highest score?,"Submission ka jo highest score ki tarah hain, wo kis ne likha hai?","Kisi ne submission ki jo highest score ki tarah hain, wohi kya author hai?",SELECT Author FROM submission ORDER BY Scores DESC LIMIT 1
store_1,How much is the track Fast As a Shark?,How much is the track Fast As a Shark?,Track kya hai Fast As a Shark?,Kya track Fast As a Shark hai?,"SELECT unit_price FROM tracks WHERE name = ""Fast As a Shark"";"
music_4,What are the songs in volumes associated with the artist aged 32 or older?,What are the songs in volumes associated with the artist aged 32 or older?,32 से अधिक उम्र के कलाकार से संबंधित मूल्यांकन में किस गानों की सूची है?,what are the gaane in volumes associated with the artist aged 32 or older?,SELECT T2.Song FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID  =  T2.Artist_ID WHERE T1.age  >=  32
tracking_software_problems,"For each product with some problems, list the count of problems and the product id.","For each product with some problems, list the count of problems aur product id.","Har ek product ke liye jo kuchh problem hain, usmein problem ki count aur product id dikhaye.","For har ek product jisme kuchh problem hain, problem ki count aur product id deen.","SELECT count(*) ,  T2.product_id FROM problems AS T1 JOIN product AS T2 ON T1.product_id = T2.product_id GROUP BY T2.product_id"
icfp_1,Find the first names of all the authors ordered in alphabetical order.,Find the first names of all the authors ordered in alphabetical order.,Sab authors ka first name dekh le jo ki alphabetical tarah se arrange ho.,Sab authors ki first name dekho jo alphabetical tarah se arrange ho.,SELECT fname FROM authors ORDER BY fname
railway,Show the distinct countries of managers.,Show the distinct countries of managers,Managers ki nikaal ke distinct countries de,managers ki nikaal ke distinct kya countries deinonga,SELECT DISTINCT Country FROM manager
scientist_1,Select the project names which are not assigned yet.,Select the project names jo bhin assign nahi hain,Project names select karo jo bhin assign nahi hain,project names select karein jo bhin assign nahi hain,SELECT Name FROM Projects WHERE Code NOT IN (SELECT Project FROM AssignedTo)
election_representative,What are the names of representatives in descending order of votes?,What are the names of representatives in descending order of votes?,Kya phele se vote ki madad se kam se kam kisi ke nam hain jo represent karte hain?,"Kyaa fahoomi kaam kar rahi hain jaise votes aur representatives ke liye, kya unke nam hain jo zyada se zyada vote mile?",SELECT T2.Name FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID ORDER BY votes DESC
department_store,What are the ids of the two department store chains with the largest number of department stores?,What are the ids of the doobaa maarekhan with the maximum doobaa?,"Kya do taa department store chains jisse maximum department store hain, unke ids kya hain?","Kyi kya do taa department store chains jisse maximum department store hain, unki ids kyi hain?",SELECT dept_store_chain_id FROM department_stores GROUP BY dept_store_chain_id ORDER BY count(*) DESC LIMIT 2
tvshow,What are the ids of the TV channels that do not have any cartoons directed by Ben Jones?,What are the ids of the TV channels ke jo cartoon nahi hai directed by Ben Jones?,"Kya TV channels jo Ben Jones ne directed cartoon nahi kiye hain, unke ids kya hain?","Kya ids ho jo TV channels ke jo Ben Jones ne cartoon nahi directed hai, unke ids kya hain?",SELECT id FROM TV_Channel EXCEPT SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones
restaurant_1,List all female students age is older than 18 who is not majoring in 600. List students' first name and last name.,List all female students age is older than 18 who is not majoring in 600. List students' first name and last name.,"List sabhi vasi gori studen aurun jinke age 18 se zyada hain aur jo 600 ke major nahi karte, unki first name aur last name de.","List sabhi vasi gori studen aurun jinke age 18 se zyada hain aur jo 600 ke major nahi karte, unki","SELECT Fname , Lname FROM Student WHERE Age  >  18 AND Major != 600 AND Sex = 'F';"
match_season,Count the number of countries.,Count the number of countries.,Number of countries ko count karo.,Number of countries को गिनें.,SELECT count(*) FROM country
small_bank_1,"What are the names of customers with accounts, and what are the total savings balances for each?","What are the names of customers with accounts, and what are the total savings balances for each?","Customers with accounts ke name kya hain aur unhein kaun kaun sa savings balance kitna hain, each kaun kaun sa?","kyunki customers with accounts ki names kya hain, aur unhein kaun kaun sa total savings balance kitna hain?","SELECT sum(T2.balance) ,  T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid GROUP BY T1.name"
department_store,"What are the highest and lowest prices of products, grouped by and alphabetically ordered by product type?","What are the cost range of products, jaise product type ke basis par group kiya hai aur alphabetically arrange kiya hai?","Kya product ke highest aur lowest price kya hain, jaise product type ke basis par group kiye aur alphabetically arrange kiye huye?","Kyun kya products ki highest aur lowest prices kya hain, jo product type ke basis par group kiye aur alphabetically arrange kiye huye hain?","SELECT max(product_price) ,  min(product_price) ,  product_type_code FROM products GROUP BY product_type_code ORDER BY product_type_code"
bike_1,What is the average latitude and longitude in San Jose?,What is the average latitude aur longitude in San Jose?,Average latitude aur longitude in San Jose kya hai?,Kya San Jose mein average latitude aur longitude hai?,"SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  ""San Jose"
student_transcripts_tracking,What are the last name of the students who live in North Carolina but have not registered in any degree programs?,What are the last name of the students who live in North Carolina but have not registered in any degree programs?,Kya North Carolina mein dware hain usne koi degree program mei register nahi kiye hain un student ka last name hai?,Kyā North Carolina dwāre hain usne koi degree program mei register nahi kiye hain un student ka last name hai?,SELECT T1.last_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id  =  T2.address_id WHERE T2.state_province_county  =  'NorthCarolina' EXCEPT SELECT DISTINCT T3.last_name FROM Students AS T3 JOIN Student_Enrolment AS T4 ON T3.student_id  =  T4.student_id
school_bus,Show the party with drivers from Hartford and drivers older than 40.,Show the party with dhrusar from Hartford aur dhrusar 40 se zyada jaroorat hai,Show the party with drivers from Hartford aur 40 se zyada dhrusar,Show the party with drivers from Hartford aur drivers 40 se zyada ki jaroorat hai,SELECT party FROM driver WHERE home_city  =  'Hartford' AND age  >  40
medicine_enzyme_interaction,What is the most common interaction type between enzymes and medicine? And how many are there?,What is the most common enzyme-yaar dawa mein interakshun kya hai?,Enzyme-yaar dawa ke beech mai kya interakshun jyada ho jaati hai aur unki kya jyada hai?,Kya enzyme-yaar dawa ke beech mai common interakshun kya hai aur unki kitni jyada hai?,"SELECT interaction_type ,  count(*) FROM medicine_enzyme_interaction GROUP BY interaction_type ORDER BY count(*) DESC LIMIT 1"
shop_membership,Show all city with a branch opened in 2001 and a branch with more than 100 membership.,Show all city,शहर जिनमें 2001 में एक ब्रैंच खोली गई है और उसमें से अधिक 100 सदस्यता है,show sab city jinme 2001 mein ek branch kholi gayi hai aur usmein adhik 100 sadasyata hai,SELECT city FROM branch WHERE open_year  =  2001 AND membership_amount  >  100
dog_kennels,Count the number of dogs of an age below the average.,Count the number of dogs whose age is less than average.,औरतों की संख्या कार्यरत औसत से कम हो तो गिनें।,Count the number of dogs jaise jaise unka age average se piche ho.,SELECT count(*) FROM Dogs WHERE age  <  ( SELECT avg(age) FROM Dogs )
gymnast,"What are the total points of gymnasts, ordered by their floor exercise points descending?","What are the total points of gymnasts, ordered by their floor exercise points descending?","Gymnast ki total points kya hain, floor exercise points ke basis par namak na chale?","Kya gymnast ki total points hain, jo floor exercise points mein namak chale?",SELECT Total_Points FROM gymnast ORDER BY Floor_Exercise_Points DESC
department_store,"Give the maximum and minimum product prices for each product type, grouped and ordered by product type.","Give the maximum aur minimum product prices for each product type, grouped aur ordered by product type.","Maximum aur minimum product prices de do har ek product type ke liye, product type wise group kiya aur arrange kiya.","Give maximum aur minimum product prices for har ek product type, grouped aur ordered by product type.","SELECT max(product_price) ,  min(product_price) ,  product_type_code FROM products GROUP BY product_type_code ORDER BY product_type_code"
movie_1,What are the names of all movies that received 3 or 4 stars?,What are the names of all movies ki jo 3 ya 4 stars de diye huye hain?,"Kya ye the movies jo 3 ya 4 stars mile the, aur unki names kya hain?",Kyun ki unki names kya hain jinhe 3 ya 4 stars mile the?,SELECT T2.title FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID  =  T2.mID WHERE T1.stars  =  3 INTERSECT SELECT T2.title FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID  =  T2.mID WHERE T1.stars  =  4
scientist_1,What are the names of scientists who have not been assigned a project?,What are the names of scientists jo project par nahi assign huye hain?,"Kya scientists jo project nahi mile hain, unki names kya hain?","Kyun koi scientists project nahi diye gaye hain, unke names kahaan hain?",SELECT Name FROM scientists WHERE ssn NOT IN (SELECT scientist FROM AssignedTo)
ship_1,"What are the names of ships, ordered by year they were built and their class?","What are the names of the ships, neeche year mein tabdeel hua hai aur uska class?","Ships ki names kya hain, year mein tabdeel hua hai aur uski class ke alawa?","Kya ship ki names ho, year mein tabdeel hua hai aur uski class ka?","SELECT name FROM ship ORDER BY built_year ,  CLASS"
movie_1,"What is the reviewer name, film title, movie rating, and rating date  for every movie ordered by reviewer name, movie title, then finally rating?","What is the reviewer name, film title, movie rating, aur rating date ke liye har movie ko reviewer name, film title se sort karke, phir rating par?","Reviewer name, film title, movie rating, aur rating date kya hai har movie ko reviewer name, film title se sort karke, phir rating par?","kya reviewer name, film title, movie rating, aur rating date har movie ko reviewer name, film title se sort karke, phir rating par?","SELECT T3.name ,  T2.title ,  T1.stars ,  T1.ratingDate FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID  =  T2.mID JOIN Reviewer AS T3 ON T1.rID  =  T3.rID ORDER BY T3.name ,  T2.title ,  T1.stars"
icfp_1,"Find the first names of all the authors who have written a paper with title containing the word ""Functional"".",Find the first names of all the authors who have written a paper with title containing the word Functional,Functional ke contain title ka paper likha hua sabhi authore ki first name dekhne,title mein Functional hai toh uske liye sabhi authore ka first name dekhne,"SELECT t1.fname FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN papers AS t3 ON t2.paperid  =  t3.paperid WHERE t3.title LIKE ""%Functional%"
student_transcripts_tracking,How many different addresses do the students currently live?,How many different addresses pehle students current mein rehte hain?,Students current mein kitne different addresses rehne wale hain?,Current mein students kitne different addresses mein rehte hain?,SELECT count(DISTINCT current_address_id) FROM Students
hospital_1,Which department has the largest number of employees?,Which department has the largest number of employees?,"Kya department jo sabse zyada karyukta hain, wo kya hai?","Which department jo sabse zyada karyukta hain, wo department kaam karte hue ki?",SELECT name FROM department GROUP BY departmentID ORDER BY count(departmentID) DESC LIMIT 1;
world_1,how many countries are in Asia?,how many countries hai Asia mein?,Asia mein kitne countries hain?,Asia mein kitne countries raho?,"SELECT count(*) FROM country WHERE continent  =  ""Asia"
cre_Doc_Tracking_DB,What are the id of each employee and the number of document destruction authorised by that employee?,What are the id of each employee aur number of document destruction authorised by wo employee?,Kya har ek employee ka id aur wo employee ne authorised kiye huye document destruction ka number kya hai?,Kya har ek employee ki id aur usko authorised kiye huye document destruction ka number kya hai?,"SELECT Destruction_Authorised_by_Employee_ID ,  count(*) FROM Documents_to_be_destroyed GROUP BY Destruction_Authorised_by_Employee_ID"
